hour,num_orders
2017-04-18 14:00:00,26
2017-04-18 15:00:00,30
2017-04-18 16:00:00,41
2017-04-18 17:00:00,24
2017-04-18 19:00:00,14
2017-04-18 12:00:00,29
2017-04-18 13:00:00,30
2017-04-18 11:00:00,28
2017-04-19 09:00:00,5
2017-04-18 08:00:00,2
2017-04-19 04:00:00,1
2017-04-18 10:00:00,14
2017-04-18 18:00:00,13
2017-04-19 07:00:00,4
2017-04-18 22:00:00,3
2017-04-19 11:00:00,1
2017-04-19 08:00:00,3
2017-04-18 20:00:00,10
2017-04-18 09:00:00,5
2017-04-19 10:00:00,8
2017-04-19 16:00:00,1
2017-04-18 21:00:00,4
2017-04-18 07:00:00,2
2017-04-21 07:00:00,1
2017-04-19 20:00:00,1
