servicer_auth,total_orders_completed,total_income
96,1,1710
150,1,1332
266,1,1190
252,1,1115
97,2,755
202,2,632
145,1,615
146,2,602
55,1,594
94,1,586
11,1,586
141,2,559
183,1,558
88,3,519
19,1,502
256,1,502
166,2,499
157,2,491
229,2,484
282,2,476
112,1,474
233,1,468
174,1,456
65,4,451
44,2,440
31,1,438
175,2,426
8,2,424
123,2,420
187,1,403
194,2,398
103,1,395
102,1,390
216,1,381
131,1,378
234,1,375
22,2,370
26,1,362
46,2,355
48,1,346
73,1,345
133,2,340
213,1,335
160,2,334
81,1,334
201,1,334
205,1,334
104,1,321
196,1,320
34,1,320
260,2,312
17,2,309
84,1,306
64,1,306
39,1,300
105,1,296
28,3,294
101,1,289
92,2,283
70,1,278
258,1,264
61,2,262
207,1,261
129,2,258
138,1,257
143,1,257
120,1,257
20,1,257
85,1,257
182,1,250
56,1,246
162,1,242
280,1,238
281,1,238
277,1,238
163,1,238
271,1,238
279,1,238
274,1,238
110,1,232
122,1,231
53,1,228
40,2,226
86,2,222
186,1,221
100,1,221
170,1,221
173,1,221
119,1,221
178,1,221
236,1,221
116,1,221
51,2,219
57,1,217
247,1,214
208,1,214
268,1,214
219,1,214
269,1,206
245,1,206
239,1,206
169,1,199
117,1,199
35,2,196
243,1,195
58,1,195
164,1,195
249,1,192
72,1,192
212,1,192
107,1,192
220,1,192
126,1,192
190,1,192
75,1,192
82,1,192
237,1,192
267,1,192
128,1,192
254,1,188
99,1,185
79,1,185
32,1,185
238,1,185
37,1,185
250,1,185
218,1,182
12,3,180
172,1,178
49,1,178
77,1,178
144,1,178
181,1,178
275,1,178
21,1,178
149,1,170
217,1,170
7,1,170
210,1,170
224,2,168
242,1,167
192,1,167
180,1,163
108,1,163
156,1,163
132,1,163
50,1,163
113,1,160
189,1,160
43,1,159
33,1,156
171,1,156
16,1,156
152,1,156
74,1,156
136,1,156
15,1,149
262,1,149
111,1,149
24,1,149
246,1,149
278,1,149
232,1,149
69,1,149
248,1,148
148,1,148
42,1,145
54,1,145
179,1,145
235,1,142
63,1,142
257,1,142
10,1,142
241,1,142
83,1,142
200,1,142
78,1,134
114,1,134
223,1,134
95,1,131
137,1,131
211,1,127
118,1,127
226,1,127
106,1,127
127,1,127
165,1,127
204,1,127
206,1,127
3,1,120
177,1,120
168,1,120
121,1,120
6,1,120
60,1,120
140,1,120
135,1,120
255,1,120
228,1,120
251,1,120
4,1,117
272,1,114
5,1,113
191,1,113
139,1,113
264,1,113
222,1,113
185,1,113
71,1,113
184,1,106
270,1,106
273,1,106
193,1,106
154,1,106
2,1,106
215,1,106
276,1,98
38,1,98
244,1,98
221,1,98
125,1,91
227,1,91
80,1,91
115,1,91
198,1,91
253,1,87
199,1,84
25,1,84
91,1,84
159,1,84
197,1,84
263,1,84
188,1,84
259,1,84
240,1,77
109,1,77
27,1,77
209,1,77
231,1,70
153,1,70
59,1,64
151,1,62
214,1,62
265,1,62
1,1,62
76,1,42
155,1,20
